timestamp,id,allergic,interaction_min,gluten,egg,lactose,tree_nuts
10/16/2023 20:55:30,0,TRUE,39,TRUE,TRUE,FALSE,FALSE
10/22/2023 13:42:07,1,TRUE,57,TRUE,FALSE,TRUE,FALSE
10/22/2023 13:46:19,2,TRUE,23,TRUE,FALSE,FALSE,FALSE
10/22/2023 14:21:49,3,TRUE,17,TRUE,FALSE,TRUE,FALSE
10/23/2023 16:48:04,4,TRUE,50,TRUE,FALSE,FALSE,FALSE
10/24/2023 14:18:34,5,TRUE,10,TRUE,FALSE,FALSE,FALSE
10/9/2023 13:08:18,6,FALSE,38,FALSE,FALSE,FALSE,FALSE
10/9/2023 13:08:49,7,TRUE,38,FALSE,FALSE,FALSE,FALSE
10/9/2023 13:08:50,8,FALSE,22,FALSE,FALSE,FALSE,FALSE
10/9/2023 13:09:46,9,FALSE,59,FALSE,FALSE,FALSE,FALSE
10/9/2023 13:10:31,10,TRUE,5,FALSE,FALSE,FALSE,FALSE
10/9/2023 13:11:45,11,FALSE,55,FALSE,FALSE,FALSE,FALSE
10/9/2023 13:13:44,12,FALSE,8,FALSE,FALSE,FALSE,FALSE
10/9/2023 13:16:59,13,TRUE,25,FALSE,FALSE,TRUE,FALSE
10/9/2023 13:22:35,14,FALSE,46,FALSE,FALSE,FALSE,FALSE
10/9/2023 13:28:57,15,FALSE,11,FALSE,FALSE,FALSE,FALSE
10/9/2023 13:31:04,16,FALSE,52,FALSE,FALSE,FALSE,FALSE
10/9/2023 13:32:38,17,FALSE,58,FALSE,FALSE,FALSE,FALSE
10/9/2023 13:35:59,18,FALSE,23,FALSE,FALSE,FALSE,FALSE
10/9/2023 13:36:25,19,FALSE,20,FALSE,FALSE,FALSE,FALSE
10/9/2023 13:38:20,20,FALSE,6,FALSE,FALSE,FALSE,FALSE
10/9/2023 13:40:00,21,FALSE,60,FALSE,FALSE,FALSE,FALSE
10/9/2023 13:47:13,22,FALSE,57,FALSE,FALSE,FALSE,FALSE
10/9/2023 14:01:57,23,FALSE,47,FALSE,FALSE,FALSE,FALSE
10/9/2023 15:05:52,24,FALSE,18,FALSE,FALSE,FALSE,FALSE
10/9/2023 15:17:57,25,FALSE,5,FALSE,FALSE,FALSE,FALSE
10/9/2023 16:21:36,26,FALSE,7,FALSE,FALSE,FALSE,FALSE
10/9/2023 17:11:03,27,FALSE,22,FALSE,FALSE,FALSE,FALSE
10/9/2023 17:26:30,28,FALSE,36,FALSE,FALSE,FALSE,FALSE
10/9/2023 21:39:51,29,FALSE,12,FALSE,FALSE,TRUE,FALSE
10/10/2023 18:34:30,30,FALSE,54,FALSE,FALSE,FALSE,FALSE
10/10/2023 23:28:18,31,FALSE,34,FALSE,FALSE,FALSE,FALSE
10/11/2023 11:49:39,32,FALSE,53,FALSE,FALSE,FALSE,FALSE
10/11/2023 15:42:53,33,FALSE,43,FALSE,FALSE,FALSE,FALSE
10/11/2023 15:43:42,34,FALSE,52,FALSE,FALSE,FALSE,FALSE
10/11/2023 15:44:32,35,FALSE,14,FALSE,FALSE,TRUE,FALSE
10/11/2023 15:47:10,36,FALSE,43,FALSE,FALSE,FALSE,FALSE
10/11/2023 17:04:19,37,FALSE,14,FALSE,FALSE,FALSE,FALSE
10/12/2023 0:35:16,38,FALSE,20,FALSE,FALSE,FALSE,FALSE
10/12/2023 0:36:42,39,FALSE,7,FALSE,FALSE,FALSE,FALSE
10/12/2023 0:37:44,40,FALSE,18,FALSE,FALSE,FALSE,FALSE
10/12/2023 0:47:01,41,FALSE,37,FALSE,FALSE,FALSE,FALSE
10/12/2023 7:40:15,42,FALSE,12,FALSE,FALSE,FALSE,FALSE
10/12/2023 8:37:29,43,TRUE,26,FALSE,FALSE,FALSE,TRUE
10/12/2023 11:10:32,44,FALSE,42,FALSE,FALSE,FALSE,FALSE
10/12/2023 14:37:04,45,FALSE,12,FALSE,FALSE,FALSE,FALSE
